#,Song,Artist,BPM,Camelot,Energy,Added At,Duration,Popularity,Genres,Album,Album Date,Dance,Acoustic,Instrumental,Valence,Speech,Live,Loud (Db),Key,Time Signature,Spotify Track Id,ISRC
1,"1000日間","noa",130,9B,74,2025-09-08,03:23,66,"j-pop","1000日間",2025-04-23,54,0,0,58,0,10,-4,G Major,4,3HGHvxci8vnRg7RZ5E6lzi,TCJPG2502496
2,"リカ","SIX LOUNGE",130,1B,82,2025-09-08,03:36,57,"anime, japanese indie, j-rock, j-pop","リカ",2023-08-02,54,0,0,47,0,30,-2,B Major,4,5iPPyvEn7BcWw34aGKGd6W,JPU902303207
3,"関係のない人","Kaneyorimasaru",136,9B,73,2025-09-08,03:33,54,"japanese indie, j-rock, j-pop","関係のない人",2022-04-13,65,3,1,82,0,10,-3,G Major,4,3WlAqL1Vaei9e84PDNh5FH,JPVI02200567
4,"soup","04 Limited Sazabys",140,12B,83,2025-09-08,03:15,52,"melodic hardcore, j-rock","TOY",2015-10-28,55,0,0,82,0,0,-4,E Major,4,5OcSLydaartKBiaYPsM9u1,JPCO01535020
5,"Now is the best!!!","TOMBO COOP",185,3B,97,2025-09-08,02:27,47,"j-pop","羽化",2023-08-30,41,0,0,48,0,50,-5,C♯/D♭ Major,4,4yh4QM2HRXYg7hevgirrAK,JP92N2322700
6,"イト","Creep Hyp",132,12A,81,2025-09-08,03:36,55,"j-pop, j-rock","泣きたくなるほど嬉しい日々に",2018-09-26,63,6,0,94,0,30,-4,C♯/D♭ Minor,4,0ELktpiH8U73B7lu249tMM,JPPO01701267
7,"月の逆襲","Creep Hyp",122,10B,94,2025-09-08,03:06,57,"j-pop, j-rock","イト",2017-04-26,57,1,0,65,0,30,-3,D Major,4,3Tk6FZMnIhu8j8qJaP9na9,JPPO01701268
8,"五月の蝿","RADWIMPS",127,3B,97,2025-09-08,05:02,48,"anime, j-pop, j-rock","×と○と罪と",2013-12-11,24,0,0,39,10,10,-1,C♯/D♭ Major,3,3grp21DfgKfqjI0HP8hSge,JPPO01346515
9,"青春と一瞬","Macaroni Empitsu",176,3B,67,2025-09-08,04:38,57,"j-pop","青春と一瞬",2019-03-06,49,28,0,52,0,30,-4,C♯/D♭ Major,4,5hP00tcT87uyrdnei9g1Sw,JPZ921901849
10,"再会","Vaundy",150,11B,96,2025-09-08,04:20,64,"j-pop, japanese indie, j-rock, anime","再会",2025-07-13,56,0,0,27,0,30,-3,A Major,4,7c1icp8E7aYG90vA3wo3Se,JPR652500130
11,"丸ノ内サディスティック","Sheena Ringo",200,4B,92,2025-09-08,03:55,68,"j-pop, j-rock","無罪モラトリアム",1999-02-24,43,11,0,66,10,10,-3,G#/A♭ Major,4,1mWN1USPKg632qQXG9sfDL,JPTO09834920
12,"look at the sea","Oisicle Melonpan",95,9B,85,2025-09-08,03:27,59,"japanese indie, j-rock, j-pop","indoor",2017-09-27,61,1,0,69,0,30,-6,G Major,4,3NL9vhW3losGqQw6O2n08Y,JPZ921707903
13,"本当なんてぶっ飛ばしてよ","Creep Hyp",110,4B,82,2025-09-15,03:16,55,"j-pop, j-rock","本当なんてぶっ飛ばしてよ",2022-12-14,68,14,0,93,0,10,-4,G#/A♭ Major,4,7wHtfzKFqvr6fUkKzhMr1c,JPPO02204728
14,"幸福論","Sheena Ringo",133,7B,96,2025-09-15,03:42,63,"j-pop, j-rock","ニュートンの林檎",2019-11-13,49,0,68,78,0,60,-1,F Major,4,7d6clvdPOrpZhddyds5R31,JPPO01903921
15,"IS THIS LOVE","XG",130,4B,71,2025-09-20,02:35,61,"k-pop","IS THIS LOVE",2025-03-07,76,4,0,46,0,10,-6,G#/A♭ Major,4,7HfDulyv4KLZAD170lF8at,JPB602402896
16,"会いにKiTE!（2025ver.）","iLiFE!",180,3B,92,2025-09-22,04:03,58,"j-pop","アイドルライフエクストラパック",2025-04-30,51,3,0,65,10,10,-5,C♯/D♭ Major,4,1Y7uCOrivL1x4wMUpnMqUn,JPW462574228
17,"IRIS OUT","Kenshi Yonezu",135,3B,80,2025-09-24,02:31,85,"j-pop, anime, j-rock","IRIS OUT",2025-09-15,75,1,0,89,10,0,-6,C♯/D♭ Major,4,59hVbgr8rfYkDbHfr8RcGI,JPU902502821
18,"わざとあざとエキスパート","いぎなり東北産",93,3B,91,2025-09-25,03:51,44,"","わざとあざとエキスパート",2023-03-06,70,6,0,83,0,10,-3,C♯/D♭ Major,4,4H0BAHNMghUPAgtSk2VwYB,JPX952300004
19,"らぶきゅん♡うぉんてっど","きゅるりんってしてみて",88,11B,87,2025-09-25,03:40,52,"j-pop","らぶきゅん♡うぉんてっど",2024-03-06,63,3,0,72,10,20,-4,A Major,4,0CaeTYtL57FfMSbGrII1tM,TCJPZ2448806
20,"♡♡♡わんだーらんど","きゅるりんってしてみて",170,3A,99,2025-09-25,03:24,52,"j-pop","♡♡♡わんだーらんど",2024-10-20,53,3,0,79,0,30,-3,A#/B♭ Minor,4,7AYCIy5BGf45qnbYP0VkLZ,TCJPC2428848
21,"織姫とBABY","neguse.,汐れいら",88,11B,69,2025-10-02,03:42,66,"j-pop","織姫とBABY",2025-06-18,69,19,0,65,0,30,-4,A Major,4,2RMBCQdXkfFArpX3NIuuNm,JPU902502047
22,"ノンフィクションズ","Da-iCE",93,3A,77,2025-10-02,03:38,58,"j-pop, anime","ノンフィクションズ",2025-07-16,61,5,0,80,10,20,-3,A#/B♭ Minor,4,7mxgPTMcACB1iAKKRq9Ebf,JPB602501968
23,"メリールー","SIX LOUNGE",129,10B,77,2025-10-04,04:45,50,"anime, japanese indie, j-rock, j-pop","ジュネス",2022-10-26,35,0,0,41,0,30,-4,D Major,4,1QSqUUws87962Wq65IjDdQ,JPU902203394
24,"たましいの居場所","Macaroni Empitsu",103,8B,79,2025-10-05,03:21,50,"j-pop","大人の涙",2023-08-30,64,13,0,69,0,0,-5,C Major,4,6F6vNvJHqppGBvsxGez2bh,JPTF02213401
