#,Song,Artist,BPM,Camelot,Energy,Added At,Duration,Popularity,Genres,Album,Album Date,Dance,Acoustic,Instrumental,Valence,Speech,Live,Loud (Db),Key,Time Signature,Spotify Track Id,ISRC
1,"I Love You So","The Walters",76,6B,67,2021-10-29,02:40,2,"","Songs for Dads",2014-11-28,58,65,0,50,0,10,-5,A#/B♭ Major,4,1175r6ZmkUjX8dRJLz9Ohk,TCACC1438995
2,"Look Who’s Inside Again","Bo Burnham",160,10B,33,2021-10-29,01:23,63,"comedy","INSIDE",2021-06-10,64,76,0,65,0,30,-9,D Major,3,0lZZ8pibk6Zu3M9hTthk1a,USA2P2122069
3,"telepatía","Kali Uchis",84,10A,52,2021-10-29,02:40,85,"","Sin Miedo (del Amor y Otros Demonios) ∞",2020-12-04,65,11,0,55,0,20,-9,B Minor,4,6tDDoYIxWvMLTdKpjFkc1B,GBUM72005748
4,"Mx. Sinister","I DONT KNOW HOW BUT THEY FOUND ME",134,7A,81,2021-10-29,02:59,53,"","Mx. Sinister",2021-06-11,51,1,0,32,0,30,-4,D Minor,4,1hYXuCb1EMgwfl3QHUeTfM,US5262124134
5,"death bed (feat. beabadoobee & blink-182) - bonus remix","Powfu,beabadoobee,blink-182",144,8B,64,2021-10-29,02:13,53,"bedroom pop, pop punk, punk, rock, skate punk, emo","poems of the past",2020-05-29,73,67,0,66,10,80,-6,C Major,4,607PGYIaTaTyAKQtmPpUom,USSM12002355
6,"(Online Love)","Conan Gray",78,8B,25,2021-10-29,00:37,53,"","Kid Krow",2020-03-20,43,89,0,85,0,30,-11,C Major,1,1WVunZLZM2zLTm5rAvKZkF,USUM71924259
7,"Angels Like You","Miley Cyrus",122,7B,64,2021-10-29,03:16,83,"","Plastic Hearts",2020-11-27,67,10,0,49,0,10,-4,F Major,4,1daDRI9ahBonbWD8YcxOIB,USRC12003754
8,"Something About You","Eyedress,Dent May",133,8A,78,2021-10-29,02:33,0,"","Something About You",2021-06-03,65,3,1,82,0,30,-9,A Minor,4,0kFFvTvmSgJeNkVKPFaplu,GBMYF2000174
9,"I Bet on Losing Dogs","Mitski",82,11B,49,2021-10-29,02:50,81,"","Puberty 2",2016-06-17,40,0,0,41,0,10,-10,A Major,4,2Co0IjcLTSHMtodwD4gzfg,USJ5G1612306
10,"Young And Beautiful","Lana Del Rey",114,10A,42,2021-10-29,03:56,89,"","Young And Beautiful",2013-01-01,32,26,0,15,0,10,-9,B Minor,4,2nMeu6UenVvwUktBCpLMK9,GBUM71301823
11,"I Wanna Be Yours","Arctic Monkeys",68,5A,42,2021-10-29,03:03,92,"indie, garage rock","AM",2013-09-09,46,14,2,48,0,10,-9,C Minor,4,5XeFesFbtLpXzIVDNQP22n,GBCEL1300373
12,"Colors","Halsey",100,3B,81,2021-10-29,04:09,75,"","BADLANDS",2015-08-28,51,5,0,52,0,0,-5,C♯/D♭ Major,4,1TnUURhehaoMWKAqQtirm6,USUM71507629
13,"Afraid","The Neighbourhood",84,11A,70,2021-10-29,04:11,80,"","I Love You.",2013-04-22,46,1,31,36,0,30,-6,F#/G♭ Minor,4,7brQHA2CgQpcMBiOlfiXYb,USSM11300889
14,"Reflections","The Neighbourhood",114,10A,59,2021-10-29,04:04,88,"","Hard To Imagine The Neighbourhood Ever Changing",2018-11-02,65,11,5,54,0,10,-7,B Minor,4,2xql0pid3EUwW38AsywxhV,USSM11800527
15,"Choke","I DONT KNOW HOW BUT THEY FOUND ME",120,9A,85,2021-10-29,03:15,66,"","Choke",2018-08-24,52,0,0,58,0,30,-4,E Minor,4,37mfTcSlX60JtAvAETytGs,TCADH1774692
16,"If I Killed Someone For You","Alec Benjamin",121,9B,61,2021-10-29,03:05,71,"","Narrated For You",2018-11-16,51,77,0,41,0,10,-5,G Major,4,0WHi11uzahqpEtPGYCW6oQ,USAT21811723
17,"Talking to the Moon","Bruno Mars",146,12A,59,2021-10-29,03:37,79,"","Doo-Wops & Hooligans",2010-05-11,50,51,0,8,0,10,-5,C♯/D♭ Minor,4,1wVuPmvt6AWvTL5W2GJnzZ,USAT21001985
18,"YKWIM?","Yot Club",124,11B,54,2021-10-29,03:32,78,"bedroom pop","Bipolar",2019-05-31,37,94,87,23,0,20,-8,A Major,3,2vWBUC9djv6BtiGlmKiQaH,CAGOO1966522
19,"The Phoenix","Fall Out Boy",138,9A,96,2021-10-29,04:04,75,"emo, pop punk","Save Rock And Roll",2013-04-12,56,0,0,41,0,50,-3,E Minor,4,7jwDuO7UZvWs77KNj9HbvF,USUM71302620
20,"Hermit the Frog","MARINA",122,8B,68,2021-10-29,03:35,66,"","The Family Jewels",2009-07-15,61,24,0,49,0,20,-5,C Major,4,4Zcz6saEkOII3PlXd9gN3o,GBFFS0900117
21,"Sign of the Times","Harry Styles",120,7B,60,2021-10-29,05:40,92,"","Harry Styles",2017-05-12,52,3,0,22,0,10,-5,F Major,4,5Ohxk2dO5COHF1krpoPigN,USSM11703595
22,"Let Me Down Slowly","Alec Benjamin",150,12A,56,2021-10-29,02:49,83,"","Narrated For You",2018-11-16,65,74,0,48,0,10,-6,C♯/D♭ Minor,4,2qxmye6gAegTMjLKEBoR3d,USAT21802284
23,"Apocalypse","Cigarettes After Sex",94,7B,47,2021-10-29,04:50,11,"dream pop","Cigarettes After Sex",2017-06-09,37,2,57,18,0,10,-9,F Major,4,0yc6Gst2xkRu0eMLeRMGCX,USBQU1700034
24,"Arcade","Duncan Laurence",72,8A,33,2021-10-29,03:03,77,"","Arcade",2019-03-07,46,82,0,27,0,10,-13,A Minor,3,1Xi84slp6FryDSCbzq4UCD,NL1TK1900001
25,"There's Nothing Holdin' Me Back","Shawn Mendes",122,10A,81,2021-10-29,03:19,88,"","Illuminate (Deluxe)",2017-04-20,87,38,0,97,0,0,-4,B Minor,4,7JJmb5XwzOO8jgpou264Ml,USUM71702833
26,"Cradles","Sub Urban",67,3B,59,2021-10-29,03:29,1,"","Cradles",2019-01-04,58,27,0,63,30,10,-2,C♯/D♭ Major,3,18A7ha5BitZjmdHTCwXFbU,GB2LD1800949
27,"Je te laisserai des mots","Patrick Watson",133,10B,19,2021-10-29,02:40,6,"","Je te laisserai des mots",2010-09-10,30,99,50,21,0,10,-17,D Major,4,0V5cvmTKsYmF5FmGGEAfmS,CA0RZ1000020
28,"I See the Light - From  Tangled  / Soundtrack Version","Mandy Moore,Zachary Levi",92,7B,14,2021-10-29,03:44,73,"","Tangled",2010-01-01,24,83,0,17,0,0,-14,F Major,4,6klpXs2uAjagnZMFkt4qkl,USWD11054842
29,"Demons","Imagine Dragons",90,5B,71,2021-10-29,02:55,59,"","Night Visions (Deluxe)",2012-09-04,50,19,0,42,0,30,-3,D#/E♭ Major,4,5VC29kHMkzcaorzPKUqJbl,USUM71201071
30,"Say You Won't Let Go","James Arthur",85,6B,56,2021-10-29,03:31,53,"soft pop","Back from the Edge",2016-10-28,36,70,0,49,0,0,-7,A#/B♭ Major,4,0p6RzKrGeXzyYYd2RZPKd8,DEE861600586
31,"Good Years","ZAYN",97,10B,41,2021-10-29,03:00,53,"","Icarus Falls",2018-12-14,64,55,0,16,0,10,-6,D Major,4,6CJLdpuz4utMTypcE8kUG3,USRC11803762
32,"One More Light","Linkin Park",84,4B,20,2021-10-29,04:15,78,"nu metal, rap metal, rock, alternative metal","One More Light",2017-05-19,59,90,0,17,0,0,-11,G#/A♭ Major,4,3xXBsjrbG1xQIm1xv1cKOt,USWB11700225
33,"Mind Games","Sickick",85,11B,45,2021-10-29,04:18,3,"","Mind Games",2017-11-17,69,46,7,35,0,10,-9,A Major,4,21a1k8q3DJtsF8GorRfcL8,QZANL1751842
34,"Set Fire to the Rain","Adele",108,7A,67,2021-10-29,04:02,83,"soft pop","21",2011-01-24,60,0,0,45,0,10,-4,D Minor,4,3di5hcvxxciiqwMH1jarhY,GBBKS1000348
35,"Money","The Drums",102,9A,92,2021-10-29,03:53,78,"indie","Portamento",2011-01-01,60,22,15,45,0,20,-7,E Minor,4,3VIJBrMpvimHEw5wtPh2wB,GBUM71105426
36,"Infinity","Jaymes Young",122,10A,67,2021-10-29,03:57,81,"","Feel Something",2017-06-23,67,15,0,49,0,30,-7,B Minor,4,1SOClUWhOi8vHZYMz3GluK,USAT21700859
37,"Fourth of July","Sufjan Stevens",120,11A,10,2021-10-29,04:39,80,"baroque pop","Carrie & Lowell",2015-03-31,44,97,33,16,0,10,-22,F#/G♭ Minor,4,5Qnrgqy1pAm9GyNQOgyVFz,US64G1509906
38,"R.I.P. 2 My Youth","The Neighbourhood",94,6A,69,2021-10-29,03:25,69,"","Wiped Out!",2015-10-30,35,0,0,18,0,10,-6,G Minor,4,07VBqWH6NG8L2ad3l84UKk,USSM11506390
39,"Tag, You're It","Melanie Martinez",115,4A,84,2021-10-29,03:09,73,"","Cry Baby (Deluxe Edition)",2015-08-14,56,24,2,38,0,10,-6,F Minor,4,3u1FiuSpfsgVnekEMXgMwJ,USAT21501939
40,"Fine Line","Harry Styles",121,10B,35,2021-10-29,06:17,80,"","Fine Line",2019-12-13,31,17,0,5,0,0,-9,D Major,4,6VzcQuzTNTMFnJ6rBSaLH9,USSM11912596
41,"i love you","Billie Eilish",137,8B,13,2021-10-29,04:51,82,"","WHEN WE ALL FALL ASLEEP, WHERE DO WE GO?",2019-03-29,42,95,0,12,0,10,-18,C Major,4,6CcJMwBtXByIz4zQLzFkKc,USUM71900773
42,"Team","Lorde",100,2B,58,2021-10-29,03:13,82,"","Pure Heroine",2013-09-27,69,17,0,41,10,30,-7,F#/G♭ Major,4,3G6hD9B2ZHOsgf4WfNu7X1,NZUM71300124
43,"when the party's over","Billie Eilish",83,12B,11,2021-10-29,03:16,85,"","WHEN WE ALL FALL ASLEEP, WHERE DO WE GO?",2019-03-29,37,98,0,20,10,0,-14,E Major,4,43zdsphuZLzwA9k4DJhU0I,USUM71815958
44,"Hurt","Oliver Tree",94,8B,78,2021-10-29,02:25,65,"","Ugly is Beautiful",2020-07-17,56,2,0,42,0,40,-6,C Major,4,6Ph8QwsRfZunN5e1GGBIqa,USAT21812674
45,"If We Have Each Other","Alec Benjamin",173,3A,58,2021-10-29,03:01,77,"","Narrated For You",2018-11-16,66,70,0,86,0,30,-6,A#/B♭ Minor,4,7pT6WSg4PCt4mr5ZFyUfsF,USAT21804357
46,"girls","girl in red",150,7B,45,2021-10-29,03:18,0,"bedroom pop","girls",2018-06-08,52,23,4,79,0,10,-14,F Major,4,1kqc6U8hVYZhY0gFGQclCz,GBLFP1858237
47,"Love Me Like You Do","Ellie Goulding",95,4A,60,2021-10-29,04:13,80,"","Fifty Shades Freed (Original Motion Picture Soundtrack)",2018-02-09,49,27,0,32,0,10,-7,F Minor,4,0Cy7wt6IlRfBPHXXjmZbcP,GBUM71706324
48,"Sorry","Halsey",74,4A,25,2021-10-29,03:40,1,"","hopeless fountain kingdom (Deluxe)",2017-06-02,51,91,0,35,0,10,-9,F Minor,4,44n97yHySt0Z9rqPaXgjCK,USUM71702216
49,"Hidden In the Sand","Tally Hall",121,2B,29,2021-10-29,01:52,71,"","Marvin's Marvelous Mechanical Museum",2005-10-24,55,51,77,18,10,10,-12,F#/G♭ Major,4,0RjG5JmdOWXAR68dGlKBA5,TCAAY1158683
50,"i wanna be your girlfriend","girl in red",156,9B,38,2021-10-29,03:24,2,"bedroom pop","i wanna be your girlfriend",2018-03-02,54,2,0,34,0,30,-14,G Major,4,3h3pOvw6hjOvZxRUseB7h9,GBLFP1815318
51,"Mrs Magic","Strawberry Guy",133,4A,63,2021-10-29,03:28,0,"bedroom pop","Mrs Magic",2019-07-22,48,16,44,36,0,30,-7,F Minor,4,45BBlVHECwB0uNt7BsJ97r,GBJGV1900102
52,"Night Changes","One Direction",120,4B,52,2021-10-29,03:46,88,"","FOUR (Deluxe)",2014-11-17,67,86,0,37,0,10,-8,G#/A♭ Major,4,5O2P9iiztwhomNh8xkR9lJ,GBHMU1400165
53,"They Don't Know About Us","One Direction",148,8B,73,2021-10-29,03:20,76,"","Take Me Home (Expanded Edition)",2012-11-12,51,13,0,37,0,10,-6,C Major,4,6M31fPFCYB8Job3MCjjrDV,GBHMU1200368
54,"Wait a Minute!","WILLOW",101,2A,71,2021-10-29,03:16,86,"","ARDIPITHECUS",2015-01-11,76,4,0,67,0,0,-5,D#/E♭ Minor,4,0y60itmpH0aPKsFiGxmtnh,QMJMT1500801
55,"Lie To Me","5 Seconds of Summer",160,8B,48,2021-10-29,02:30,64,"","Youngblood (Deluxe)",2018-06-15,63,1,0,69,0,10,-6,C Major,4,3567eNX2L3RkkMkwspncMH,GBUM71800364
56,"Sad Song (feat. Elena Coats)","We The Kings,Elena Coats",85,3B,53,2021-10-29,03:46,0,"pop punk, ","Somewhere Somehow",2013-01-01,51,7,0,25,0,0,-5,C♯/D♭ Major,4,05CrK6Q5VGtfPDtyQFJ4Kf,QMGKG1300017
57,"Too Good At Goodbyes","Sam Smith",92,7B,37,2021-10-29,03:21,83,"soft pop","The Thrill Of It All (Special Edition)",2017-11-03,72,64,0,47,0,10,-8,F Major,4,1mXVgsBdtIVeCLJnSnmtdV,GBUM71704089
58,"See You Again (feat. Kali Uchis)","Tyler, The Creator,Kali Uchis",79,2B,56,2021-10-29,03:00,91,"","Flower Boy",2017-07-21,56,37,0,62,10,10,-9,F#/G♭ Major,4,7KA4W4McWYRpgf0fWsJZWB,USQX91701275
59,"Achilles Come Down","Gang of Youths",180,5A,52,2021-10-29,07:02,67,"","Go Farther In Lightness",2017-08-18,22,44,28,15,0,20,-9,C Minor,3,22TntnVO3lQNDR5nsvxGRs,AUBM01700503
60,"Human","Rag'n'Bone Man",75,11B,71,2021-10-29,03:20,80,"","Human (Deluxe)",2017-02-10,60,39,0,55,30,10,-4,A Major,4,58zsLZPvfflaiIbNWoA22O,GBARL1600665
61,"Bloodflood","alt-J",130,11A,52,2021-10-29,04:09,0,"indie, indie rock","An Awesome Wave",2012-05-28,69,83,39,23,0,0,-9,F#/G♭ Minor,4,6GgM5F3W2TuAPSqeyyOSED,GBZUZ1200073
62,"Hey Kids","Molina,Late Verlane",87,9A,53,2021-10-29,03:53,5,"","Hey Kids",2018-04-20,58,2,1,47,0,20,-8,E Minor,4,5poS8LyxohSACjuIZ61EyS,DKPF51800801
63,"Happier","Marshmello,Bastille",100,7B,79,2021-10-29,03:34,10,"edm, ","Happier",2018-08-17,69,19,0,67,0,10,-3,F Major,4,2dpaYNEQHiRxtZbfNsse99,USUG11801651
64,"Bad Liar","Imagine Dragons",89,5B,64,2021-10-29,04:20,82,"","Origins (Deluxe)",2018-11-09,31,7,0,8,0,30,-7,D#/E♭ Major,4,2RSHsoi04658QL5xgQVov3,USUM71816161
65,"If You Want Love","NF",116,8B,39,2021-10-29,03:19,72,"christian hip hop","Perception",2017-10-06,55,66,0,24,10,10,-10,C Major,1,3i5qVV8azKqGFK4Gzdt5YS,USUM71708224
66,"All I Want","Kodaline",187,8B,41,2021-10-29,05:05,80,"","In A Perfect World (Expanded Edition)",2013-06-17,19,17,15,16,0,0,-10,C Major,3,0NlGoUyOJSuSHmngoibVAs,GBDVX1200008
67,"Fourth of July","Sufjan Stevens",120,11A,10,2021-12-23,04:39,0,"baroque pop","Carrie & Lowell",2015-03-31,44,97,35,16,0,10,-22,F#/G♭ Minor,4,4K3RZJ8sWPbv0IedcnEfw6,US64G1509906
68,"Ancient Dreams in a Modern Land","MARINA",138,3A,79,2022-02-11,03:26,63,"","Ancient Dreams In A Modern Land",2021-06-11,58,2,0,64,0,30,-5,A#/B♭ Minor,4,1R1ihosU2CSEaSw8e5ZF6E,USAT22101355
69,"Man's World","MARINA",110,4A,71,2022-02-11,03:27,57,"","Ancient Dreams In A Modern Land",2021-06-11,50,40,0,23,0,0,-6,F Minor,4,6qXM63MqfsATteIuCVMXvu,USAT22001218
70,"Look Who’s Inside Again","Bo Burnham",160,10B,33,2022-02-11,01:23,0,"comedy","Inside (The Songs)",2021-06-10,64,76,0,65,0,30,-9,D Major,3,7d8dqy6GbiUqotcTSs0jXg,USA2P2122069
71,"Until It Doesn’t Hurt","Mother Mother",148,6B,52,2022-02-11,02:55,48,"","Inside",2021-06-25,61,58,0,54,0,10,-10,A#/B♭ Major,4,7grksluOJE8yFzxmrh7u2U,CAW112000417
72,"The Other Side Of Paradise","Glass Animals",128,10A,34,2022-02-26,05:20,71,"","How To Be A Human Being",2016-08-26,69,35,0,57,0,0,-8,B Minor,4,0rRjGruFonCGOt0S5zAJNQ,GB2DY1600028
73,"Daddy Issues","The Neighbourhood",85,6B,52,2022-04-04,04:20,86,"","Wiped Out!",2015-10-30,59,7,15,34,0,10,-9,A#/B♭ Major,4,5E30LdtzQTGqRvNd7l6kG5,USSM11506747
